1015241,880666,Standard,Clifton Springs Hearing Center 5399732-MD 2,Lamark,2/28/2017,1
1018537,898939,Standard,Prostrollo Auto Mall 5363630-AU 2,Lamark,2/28/2017,2
1018997,904732,Rush,98886251 Soka University of America - OCR,Data Dynamix - Ad Taxi,3/1/2017,3
1019165,904741,Rush,1746399 CSUN Performing Arts Center,Data Dynamix - Ad Taxi,3/1/2017,4
1017483,905542,Standard,Amazing Lash Studio,Hearst CT,3/1/2017,5
1019457,905839,Standard,Mercedes-Benz of Georgetown March 1,Group 1 Automotive,3/1/2017,6
1018967,905905,Standard,Celebrate Showcase,Hearst CT,3/1/2017,7
1019527,906037,Rush,5666672 ClearChoice MD 150640,Data Dynamix,3/1/2017,8
1019525,906040,Rush,3068078 Golden Triangle Emergency Center 151014,Data Dynamix,3/1/2017,9
1019509,906046,Standard,CapTimes,Lee Enterprises Madison,3/1/2017,10
1019066,906082,Rush,46527140 Lopez Tax Service,Data Dynamix,3/1/2017,11
1019524,906094,Rush,8302104 Express Employment 151715,Data Dynamix,3/1/2017,12
1019573,906112,Rush,9742810 Salvation Army - Minneapolis 151097,Data Dynamix,3/1/2017,13
1019447,906121,Standard,Hillsdale Shopping Center - March ad,Hearst San Fran,3/1/2017,14
1019024,906127,Rush,14941536 Worthington Jewelers,Data Dynamix,3/1/2017,15
1019470,906130,Rush,"1013925 Ingles Markets, Inc 151399",Data Dynamix,3/1/2017,16
1018897,906172,Rush,79233538 Coit,Data Dynamix,3/1/2017,17
1019440,906175,Standard,Rancho Tesoro,Hayes Martin Associates,2/28/2017,18
1019559,906184,Rush,10316786 Mountainside Fitness,Data Dynamix,3/1/2017,19
1019558,906190,Rush,63548459 SafeCon Consulting Group & Inc,Data Dynamix,3/1/2017,20
1018296,906217,Rush,16921820 Virginia Beach Public Libraries,Data Dynamix,3/1/2017,21
1019351,906220,Rush,88429553 Jesuit High School,Data Dynamix,3/1/2017,22
1019430,906229,Rush,11187416 Crescent Credit Union,Data Dynamix,3/1/2017,23
1019434,906283,Rush,69526522 Easton,Data Dynamix,3/1/2017,24
1019479,906301,Rush,64631778 Residence at Salem Woods,Data Dynamix,3/1/2017,25
1019640,906310,Rush,9346994 Idaho Youth Ranch 151343,Data Dynamix,3/1/2017,26
1019644,906325,Standard,3220 Cellular Sales of New Orleans 3 1 17,SmartReach Digital,3/1/2017,27
1019642,906343,Standard,The Villas at Nocatee Consumers,CalAtlantic Homes,2/28/2017,28
1019660,906400,Rush,30745991 Europa Cuisine & Restaurant,Data Dynamix,3/1/2017,29
1014921,906409,Standard,Pauli Ford 17-030935,Mudd Advertising,3/1/2017,30
1019393,906415,Standard,Kolter Vizcaya Hometown Heroes,DEGA Advertising,3/1/2017,31
1019394,906424,Standard,Kolter Vizcaya Renters,DEGA Advertising,3/1/2017,32
1019405,906451,Rush,66331544 Invisible Fence Inc,Data Dynamix,3/1/2017,33
1019443,906460,Rush,38899772 Cranberry Valley Golf Course,Data Dynamix,3/1/2017,34
1019506,906505,Standard,WYMT - Intermountain Cable,Traffic Builders,3/1/2017,35
1019675,906541,Standard,Shamaley Buick GMC March 1,Group 1 Automotive,3/1/2017,36
1018634,906544,Standard,Kolter Ponds March 1,Frederick Swanston,3/1/2017,37
1019622,906550,Rush,1969304 American Village 151591,Data Dynamix,3/1/2017,38
1019641,906559,Standard,PPM - Amazing Exteriors - 3 1 - 15949,Adcellerant,3/1/2017,39
1017370,906607,Standard,ADS Camp Sunshine 27360- Drop 2,Advantage Dealer Services,3/1/2017,40
1019604,906625,Standard,drop 1 of 2,CH Advertising,3/1/2017,41
1019575,906631,Rush,3314595 Logan 's Roadhouse - Fresno 150760,Data Dynamix,3/1/2017,42
1019611,906634,Standard,Shelter Solutions of Arkansas 5527701-HS,Lamark,3/1/2017,43
1018851,906640,Rush,7728122 Freysinger Buick GMC 150588,Data Dynamix,3/1/2017,44
1019648,906649,Standard,ServiceMaster - Minneapolis 5502742-HS,Lamark,3/1/2017,45
1019109,906658,Standard,The Resale Shop,Lee St. Louis,3/1/2017,46
1019703,906661,Standard,Sterling McCall Honda 5508032-AU,Lamark,3/1/2017,47
1019696,906676,Standard,VMG - LA - Wallis Center for Performing Arts - 16048 - 3 1 17,Adcellerant,3/1/2017,48
1019422,906685,Standard,South Bay Ford,"Venture Control, Inc",3/1/2017,49
1019616,906721,Rush,69158038 Shrine Circus,Data Dynamix,3/1/2017,50
1019627,906742,Standard,Nanticoke Health Services 5538142-MD,Lamark,3/1/2017,51
1019723,906787,Standard,COIT 40 off 3-1-17 #3,Hearst San Fran,3/1/2017,52
1019704,906859,Standard,California Pacific Homes,Hayes Martin Associates,3/1/2017,53
1019732,906919,Standard,March 1 drop,Church of Scientology Los Angeles,3/1/2017,54
1019760,907073,Standard,ADS Buckeye Superstore - FIAT ONLY 27448 [AC] Drop 1,Advantage Dealer Services,3/1/2017,55
1019591,907078,Standard,FallsGreenMeadows-BOE-0217-05,High 5 Marketing Partners,3/1/2017,56
1019788,907171,Rush,Brookfield So Cal Playa Vista CN,Hepcatsmarketing,3/1/2017,57
1019450,907198,Standard,Home Consignment February - Newport Irvine,Hearst San Fran,3/1/2017,58
1019451,907210,Standard,Home Consignment February - Woodlands,Hearst San Fran,3/1/2017,59
1019452,907219,Standard,Home Consignment February - Danville,Hearst San Fran,3/1/2017,60
1019453,907228,Standard,Home Consignment February - Calabasas,Hearst San Fran,3/1/2017,61
